"Better Product Images","Better Product Images"
"Big Image","Big Image"
"This image is usually showed as a big image on product page.","This image is usually showed as a big image on product page."
"Default Magento quality is 90. You could setup this to 99 or even 100.","Default Magento quality is 90. You could setup this to 99 or even 100."
"Enable Sharpen","Enable Sharpen"
"You may disable sharpen totally with this setting.","You may disable sharpen totally with this setting."
"This value affect the image sharpen or bluring.<br />0-3: blur<br />4-20: sharpen. (Best is 8-15).<br />more 20: seems no visual effect.<br />By default is set to 8.","This value affect the image sharpen or bluring.<br />0-3: blur<br />4-20: sharpen. (Best is 8-15).<br />more 20: seems no visual effect.<br />By default is set to 8."
"Small Image","Small Image"
"This image is usually showed in product grid on category pages.","This image is usually showed in product grid on category pages."
"Thumbnail","Thumbnail"
"This image is usually showed below big image on product page.","This image is usually showed below big image on product page."
"Other Images","Other Images"
"This type of images used when you create additional Media Image attribute and show them in your template.","This type of images used when you create additional Media Image attribute and show them in your template."